spot,sit,0.75,0.75,0.75
salt,sit,0.75,0.75,0.75
stew,sit,0.75,0.75,0.75
soft,sit,0.75,0.75,0.75
edam,end,0.75,0.75,0.75
yam,yeah,0.75,1.333,0.75
taquitos,that's,0.75,0.75,0.75
light butter,alright that's,0.75,1.167,0.75
tomatoes,that's,0.75,0.75,0.75
cheese,there's,0.75,1.167,0.75
taquitos,that's,0.75,0.75,0.75
tomatoes,that's,0.75,0.75,0.75
barbecue,(be)cause,0.75,1.125,0.75
lowfat yogurt,lots_of carrots,0.75,1.154,0.75
low salt crackers,lots_of carrots,0.75,0.882,0.75
breast,peas,0.75,0.667,0.75
pace,peas,0.75,1.0,0.75
pie,peas,0.75,1.333,0.75
pate,peas,0.75,1.0,0.75
carob flour,carrots,0.75,0.636,0.75
leaves,peas,0.75,0.667,0.75
ham,hums,0.75,1.333,0.75
oyster,stew,0.75,0.667,0.75
beechnuts,beef stew,0.75,1.0,0.75
beets babyfood,beef stew,0.75,0.643,0.75
carob flour,carrots,0.75,0.636,0.75
boiled carrots,xxx carrots>,0.75,0.857,0.75
carbonated,carrots> [<],0.75,1.2,0.75
carambola,carrots>,0.75,0.889,0.75
carp fish,carrots>,0.75,0.889,0.75
carob flour,carrots,0.75,0.636,0.75
mouse nuts,mouth full]>,0.75,1.2,0.75
yam,yeah,0.75,1.333,0.75
carob flour,carrots,0.75,0.636,0.75
yam,yeah,0.75,1.333,0.75
taquitos,that's,0.75,0.75,0.75
tomatoes,that's,0.75,0.75,0.75
croutons,carrot,0.75,0.75,0.75
caraway,carrot,0.75,0.857,0.75
carissa,carrot,0.75,0.857,0.75
carob flour,carrot haha,0.75,1.0,0.75
carcass,carrot,0.75,0.857,0.75
goose egg,good xxx,0.75,0.889,0.75
goose fat,good xxx,0.75,0.889,0.75
arby's,days,0.75,0.667,0.75
barbecue,(be)cause,0.75,1.125,0.75
arby's,days,0.75,0.667,0.75
bottles beverages,butter bread,0.75,0.706,0.75
lobster,butter,0.75,0.857,0.75
bartlett pears,butter bread,0.75,0.857,0.75
bottles water,butter bread,0.75,0.923,0.75
boiled borage,butter bread,0.75,0.923,0.75
bottled sauce,butter bread,0.75,0.923,0.75
worcestershire,words yesterday,0.75,1.071,0.75
pork picnic loaf,porch &=whining,0.75,0.938,0.75
chorizo,school,0.75,0.857,0.75
silk chocolate,<in school,0.75,0.714,0.75
pastrami,party,0.75,0.625,0.75
chocolate soymilk,school today>,0.75,0.765,0.75
white egg,whining],0.75,0.889,0.75
whitefish,whining],0.75,0.889,0.75
herring,crying,0.75,0.857,0.75
chorizo,school,0.75,0.857,0.75
pastrami,party,0.75,0.625,0.75
chorizo,school,0.75,0.857,0.75
pastrami,party,0.75,0.625,0.75
popovers,pepper,0.75,0.75,0.75
walnut,salt,0.75,0.667,0.75
snapper,pepper,0.75,0.857,0.75
turtle,sure,0.75,0.667,0.75
lobster,butter,0.75,0.857,0.75
smart soup,*mot: sure,0.75,1.0,0.75
turkey,sure,0.75,0.667,0.75
yam,yeah,0.75,1.333,0.75
ground,sounds],0.75,1.167,0.75
soybeans,sounds],0.75,0.875,0.75
lobster,butter,0.75,0.857,0.75
yam,yeah,0.75,1.333,0.75
lobster,butter,0.75,0.857,0.75
carob flour,carrots,0.75,0.636,0.75
muenster,mumbles,0.75,0.875,0.75
lobster,butter,0.75,0.857,0.75
muffins,mumbling,0.75,1.143,0.75
chorizo,school,0.75,0.857,0.75
pastrami,party,0.75,0.625,0.75
danish pastry,dad that,0.75,0.615,0.75
plain focaccia,play area,0.75,0.643,0.75
palm,play,0.75,1.0,0.75
garden,area,0.75,0.667,0.75
plain croutons,play area,0.75,0.643,0.75
breast,area,0.75,0.667,0.75
plain potatoes,play area,0.75,0.643,0.75
tartar,area,0.75,0.667,0.75
farina,area,0.75,0.667,0.75
potato bread,play area,0.75,0.75,0.75
caesar,area,0.75,0.667,0.75
pea,play,0.75,1.333,0.75
barley,area,0.75,0.667,0.75
agar,area,0.75,1.0,0.75
plain cookies,play area,0.75,0.692,0.75
schiff,school>,0.75,1.167,0.75
babyfood,balloon,0.75,0.875,0.75
salmon,balloon,0.75,1.167,0.75
almond,balloon,0.75,1.167,0.75
babyfood,balloon,0.75,0.875,0.75
salmon,balloon,0.75,1.167,0.75
almond,balloon,0.75,1.167,0.75
yam,yeah,0.75,1.333,0.75
babyfood,balloon,0.75,0.875,0.75
salmon,balloon,0.75,1.167,0.75
agar,air,0.75,0.75,0.75
almond,balloon,0.75,1.167,0.75
chorizo,school,0.75,0.857,0.75
salted,last day,0.75,1.333,0.75
yam,yeah,0.75,1.333,0.75
nutmeg spices,cut pieces,0.75,0.769,0.75
cultured cream,cut pieces,0.75,0.714,0.75
pancakes,pieces,0.75,0.75,0.75
cusk fish,cut pieces,0.75,1.111,0.75
pretzels,pieces,0.75,0.75,0.75
salami,adam in,0.75,1.167,0.75
ground emu,growly tone],0.75,1.2,0.75
hash browns denny's,harsh growly tone],0.75,0.947,0.75
ground ostrich,growly tone],0.75,0.857,0.75
grouper,growly,0.75,0.857,0.75
hamburger rolls,harsh growly,0.75,0.8,0.75
palm,play,0.75,1.0,0.75
domestic lamb,don't play,0.75,0.769,0.75
pea,play,0.75,1.333,0.75
refined oil,reading time,0.75,1.091,0.75
drained tomatoes,reading time,0.75,0.75,0.75
red fish,reading,0.75,0.875,0.75
raw pitanga,reading,0.75,0.636,0.75
nutmeg,time,0.75,0.667,0.75
orange,reading,0.75,1.167,0.75
baby squash,babbles,0.75,0.636,0.75
babassu oil,babbles,0.75,0.636,0.75
apples,babbles,0.75,1.167,0.75
barbecue,babbles,0.75,0.875,0.75
balsamic,babbles,0.75,0.875,0.75
no cheese wendy's,nonsense words],0.75,0.882,0.75
pancakes,pieces,0.75,0.75,0.75
pretzels,pieces,0.75,0.75,0.75
oat,okay,0.75,1.333,0.75
kanpyo,okay,0.75,0.667,0.75
japanese,please,0.75,0.75,0.75
flaxseed,please,0.75,0.75,0.75
limeade,please,0.75,0.857,0.75
pheasant,please,0.75,0.75,0.75
teaseed,please,0.75,0.857,0.75
pea soup,please,0.75,0.75,0.75
peanut spread,please don't>,0.75,1.0,0.75
cowpeas,please,0.75,0.857,0.75
hershey candies,headache it's,0.75,0.867,0.75
heath bites candies,headache it's,0.75,0.684,0.75
heart veal,headache,0.75,0.8,0.75
sliced peaches,little piece,0.75,0.857,0.75
pitted cherries,little piece,0.75,0.8,0.75
lemon pie,little piece,0.75,1.333,0.75
crackers,circle,0.75,0.75,0.75
crackers,circle,0.75,0.75,0.75
yam,yeah,0.75,1.333,0.75
pastrami,party,0.75,0.625,0.75
flesh potatoes,*chi: potato,0.75,0.857,0.75
potherb,potato,0.75,0.857,0.75
patties pork,potato chips,0.75,1.0,0.75
sucker,coke,0.75,0.667,0.75
plain cowpeas,potato chips,0.75,0.923,0.75
tomatoes,potato,0.75,0.75,0.75
ground,sounds],0.75,1.167,0.75
soybeans,sounds],0.75,0.875,0.75
bread crumbs,breathing],0.75,0.833,0.75
breaded veal,breathing],0.75,0.833,0.75
arby's,days,0.75,0.667,0.75
yam,yeah,0.75,1.333,0.75
arby's,days,0.75,0.667,0.75
arby's,days,0.75,0.667,0.75
arby's,days,0.75,0.667,0.75
arby's,days,0.75,0.667,0.75
arby's,days,0.75,0.667,0.75
arby's,days,0.75,0.667,0.75
garden,ride,0.75,0.667,0.75
roe,ride,0.75,1.333,0.75
rye,ride,0.75,1.333,0.75
sprouted,sounds,0.75,0.75,0.75
almonds,sounds,0.75,0.857,0.75
sunshine,sounds,0.75,0.75,0.75
stalks,walk,0.75,0.667,0.75
stalks,walk,0.75,0.667,0.75
welsh onions,we're gonna,0.75,0.917,0.75
sugars,sneakers,0.75,1.333,0.75
stalks,sneakers,0.75,1.333,0.75
seasoned,sneakers,0.75,1.0,0.75
c snacks,sneakers,0.75,1.0,0.75
edam,eat,0.75,0.75,0.75
soy meal,someone,0.75,0.875,0.75
common,someone,0.75,1.167,0.75
soybeans,someone,0.75,0.875,0.75
vinegar,dinner,0.75,0.857,0.75
roasting,anything,0.75,1.0,0.75
tongue pork,tonight,0.75,0.636,0.75
austin,anything,0.75,1.333,0.75
salami,adam if,0.75,1.167,0.75
tongue lamb,tonight,0.75,0.636,0.75
tongue beef,tonight,0.75,0.636,0.75
tongue veal,tonight,0.75,0.636,0.75
chinese,things,0.75,0.857,0.75
herring,things,0.75,0.857,0.75
stewing,things,0.75,0.857,0.75
tea,talk,0.75,1.333,0.75
taquitos,that's,0.75,0.75,0.75
tomatoes,that's,0.75,0.75,0.75
cookie,look,0.75,0.667,0.75
cookie,look_it,0.75,1.167,0.75
oat,okay,0.75,1.333,0.75
kanpyo,okay,0.75,0.667,0.75
spot,sit,0.75,0.75,0.75
salt,sit,0.75,0.75,0.75
stew,sit,0.75,0.75,0.75
soft,sit,0.75,0.75,0.75
sucker fish,supper time>,0.75,1.091,0.75
grouper,supper,0.75,0.857,0.75
snapper fish,supper time>,0.75,1.0,0.75
taquitos,that's,0.75,0.75,0.75
oat,okay,0.75,1.333,0.75
kanpyo,okay,0.75,0.667,0.75
tomatoes,that's,0.75,0.75,0.75
taquitos,that's,0.75,0.75,0.75
tomatoes,that's,0.75,0.75,0.75
oat,okay,0.75,1.333,0.75
kanpyo,okay,0.75,0.667,0.75
capons,pots,0.75,0.667,0.75
shoots,pots,0.75,0.667,0.75
sapote,pots,0.75,0.667,0.75
loquats,blouse,0.75,0.857,0.75
abalone,blouse,0.75,0.857,0.75
drained yam,drawer>,0.75,0.636,0.75
cookie,look_it,0.75,1.167,0.75
chorizo,school,0.75,0.857,0.75
taquitos,that's,0.75,0.75,0.75
tomatoes,that's,0.75,0.75,0.75
dinner rolls,didn't fall,0.75,0.917,0.75
flan,fall,0.75,1.0,0.75
producer,prayers,0.75,0.875,0.75
walnuts nuts,wan(t) (t)a,0.75,0.917,0.75
pretzels,prayers,0.75,0.875,0.75
garden,amen,0.75,0.667,0.75
potherb,father,0.75,0.857,0.75
salmon,amen,0.75,0.667,0.75
melons,amen,0.75,0.667,0.75
producer,prayers,0.75,0.875,0.75
pretzels,prayers,0.75,0.875,0.75
fat,flag,0.75,1.333,0.75
fan,flag,0.75,1.333,0.75
austin,justice,0.75,1.167,0.75
sliced,justice,0.75,1.167,0.75
spices,justice,0.75,1.167,0.75
cookie,look,0.75,0.667,0.75
cookie,look,0.75,0.667,0.75
oat,okay,0.75,1.333,0.75
kanpyo,okay,0.75,0.667,0.75
limeade,pledge,0.75,0.857,0.75
all types beans,alle(giance),0.75,0.8,0.75
allspice spices,alle(giance),0.75,0.8,0.75
all grades beef,alle(giance),0.75,0.8,0.75
ham,hear,0.75,1.333,0.75
beaver,hear,0.75,0.667,0.75
ham,hear,0.75,1.333,0.75
beaver,hear,0.75,0.667,0.75
fat,flag,0.75,1.333,0.75
fan,flag,0.75,1.333,0.75
austin,justice,0.75,1.167,0.75
sliced,justice,0.75,1.167,0.75
spices,justice,0.75,1.167,0.75
goose egg,good huh,0.75,0.889,0.75
goose fat,good huh,0.75,0.889,0.75
chorizo,school,0.75,0.857,0.75
chorizo,school,0.75,0.857,0.75
bulb,b@l,0.75,0.75,0.75
blue,b@l,0.75,0.75,0.75
bulb,b@l,0.75,0.75,0.75
blue,b@l,0.75,0.75,0.75
flan,f@l,0.75,0.75,0.75
flan,f@l,0.75,0.75,0.75
malt,m@l,0.75,0.75,0.75
milk,m@l,0.75,0.75,0.75
palm,p@l,0.75,0.75,0.75
malt,m@l,0.75,0.75,0.75
milk,m@l,0.75,0.75,0.75
plum,p@l,0.75,0.75,0.75
salt,s@l,0.75,0.75,0.75
seal,s@l,0.75,0.75,0.75
salt,s@l,0.75,0.75,0.75
seal,s@l,0.75,0.75,0.75
veal,v@l,0.75,0.75,0.75
veal,v@l,0.75,0.75,0.75
yolk,y@l,0.75,0.75,0.75
yolk,y@l,0.75,0.75,0.75
orange,song,0.75,0.667,0.75
yam,yeah,0.75,1.333,0.75
orange,song,0.75,0.667,0.75
japanese,please,0.75,0.75,0.75
flaxseed,please,0.75,0.75,0.75
limeade,please,0.75,0.857,0.75
pheasant,please,0.75,0.75,0.75
teaseed,please,0.75,0.857,0.75
pea soup,please,0.75,0.75,0.75
cowpeas,please,0.75,0.857,0.75
tomato products,tomorrow (.),0.75,0.8,0.75
yogurt,<you,0.75,0.667,0.75
chocolate cake,school teacher>,0.75,1.071,0.75
chorizo,school,0.75,0.857,0.75
chocolate cereals,school teacher>,0.75,0.882,0.75
tomato powder,tomorrow> [>],0.75,1.0,0.75
tomato products,tomorrow zoo,0.75,0.8,0.75
tomatoes,tomorrow>,0.75,1.125,0.75
oat,okay,0.75,1.333,0.75
kanpyo,okay,0.75,0.667,0.75
cookie,look,0.75,0.667,0.75
cookie,look_it,0.75,1.167,0.75
fruitcake,frutti@wp,0.75,1.0,0.75
turnips,tutti@wp,0.75,1.143,0.75
bologna,boowa@wp,0.75,1.143,0.75
goat,get,0.75,0.75,0.75
cookie,look,0.75,0.667,0.75
cookie,look_it,0.75,1.167,0.75
cookie,look_it,0.75,1.167,0.75
brownies,babies,0.75,0.75,0.75
candies,babies,0.75,0.857,0.75
cookie,look,0.75,0.667,0.75
cookie,look,0.75,0.667,0.75
chopped collards,chocolate (.),0.75,0.813,0.75
chicken fat,chocolate,0.75,0.818,0.75
chicken fat,chocolate,0.75,0.818,0.75
chicken fat,chocolate,0.75,0.818,0.75
chicken fat,chocolate,0.75,0.818,0.75
chicken fat,chocolate,0.75,0.818,0.75
chopped collards,chocolate (.),0.75,0.813,0.75
chicken fat,chocolate,0.75,0.818,0.75
halavah,hahaha@wp,0.75,1.286,0.75
lupins,spin,0.75,0.667,0.75
austin,spin,0.75,0.667,0.75
goat milk,gonna spin,0.75,1.111,0.75
snap,spin,0.75,1.0,0.75
pectin,spin,0.75,0.667,0.75
canned spinach,gonna spin,0.75,0.714,0.75
young hen turkey,you're gonna,0.75,0.75,0.75
white egg,whole mess,0.75,1.111,0.75
white cheese,whole place,0.75,0.917,0.75
boiled purslane,whole place,0.75,0.733,0.75
white potatoes,whole mess,0.75,0.714,0.75
white potatoes,whole place,0.75,0.786,0.75
white cereals,whole mess,0.75,0.769,0.75
white snacks,whole place,0.75,0.917,0.75
wheat rolls,whole mess,0.75,0.909,0.75
white cornmeal,whole mess,0.75,0.714,0.75
white rolls,whole mess,0.75,0.909,0.75
raw lemons,whole mess,0.75,1.0,0.75
